label,variant,mae,rmse,r2
DS01,model1,5.269134521484375,7.643716572823347,0.899764895439148
DS01,model2,4.9284796714782715,7.175736860658159,0.911662757396698
DS02,model1,5.8512115478515625,7.481494962654236,0.8396716713905334
DS02,model2,762.4281616210938,852.0263713641732,-2078.4072265625
DS03,model1,6.428704738616943,9.328420663106435,0.8030624389648438
DS03,model2,721.712158203125,811.1081540090693,-1487.914794921875
DS03_5,model1,25.66316795349121,33.82298604153136,-1.5890247821807861
DS03_5,model2,829.2359008789062,1081.31540264624,-2645.166015625
DS04,model1,27.59851837158203,33.13722320176266,-0.750016450881958
DS04,model2,637.5310668945312,702.6605910750936,-785.8665771484375
DS05,model1,7.358186721801758,10.573889375988598,0.7902210354804993
DS05,model2,820.7142333984375,903.2072713391982,-1529.6197509765625
DS06,model1,19.01592445373535,24.729262786995516,-0.1960359811782837
DS06,model2,577.7264404296875,597.3511582394395,-696.8809814453125
DS07,model1,19.10247802734375,25.287171451925232,0.04020881652832031
DS07,model2,592.3400268554688,656.5766805941253,-646.0639038085938
DS08a,model1,9.700182914733887,12.821299736325914,0.4817361831665039
DS08a,model2,519.4773559570312,595.8210459105989,-1118.227783203125
DS08c,model1,10.275742530822754,14.286207811822496,0.2838306427001953
DS08c,model2,609.626953125,703.316696090744,-1734.7359619140625
